Brand.Code,Carb.Volume,Fill.Ounces,PC.Volume,Carb.Pressure,Carb.Temp,PSC,PSC.Fill,PSC.CO2,Mnf.Flow,Carb.Pressure1,Fill.Pressure,Hyd.Pressure1,Hyd.Pressure2,Hyd.Pressure3,Hyd.Pressure4,Filler.Level,Filler.Speed,Temperature,Usage.cont,Carb.Flow,Density,MFR,Balling,Pressure.Vacuum,PH,Oxygen.Filler,Bowl.Setpoint,Pressure.Setpoint,Air.Pressurer,Alch.Rel,Carb.Rel,Balling.Lvl
B,5.18,23.96666667,0.343333333,64,140.8,0.1934,0.34,0.04,-100,121.2,46.6,0,0,0,98,120.2,8035302.432289879,65.4,20.04,3172,0.86,268373.4432244743,1.348,-4.2,8.667454719543457,-2.6196934934387297,7197.161911225592,46,0.9932420582441408,6.52,5.36,1.38
B,5.26,24.08,0.22,63.2,139.6,0.184,0.26,0.12,-100,117.2,46.2,0,0,0,96,118.4,8035302.432289879,65.8,17.16,3100,0.86,270575.2423135925,1.348,-4.2,8.609660148620605,-2.9140884269134086,7197.161911225592,46,0.9932420582441408,6.5,5.38,1.42
B,5.3,24.06,0.282,65,138.8,0.152,0.12,0,-100,117,45.8,0,0,0,100,119.6,8035302.432289879,65.4,20.52,2926,0.92,270428.1758687952,1.498,-4.8,8.73764419555664,-2.6196934934387297,7197.161911225592,46,0.9932420582441408,6.54,5.28,1.46
B,5.306666667,23.94,0.288666667,63.8,137.2,0.1,0.18,0.02,-100,122,46.4,0,0,0,100,119.8,8059365.303172064,65.6,21.44,2954,0.94,271016.6815098316,1.548,-4.8,8.490931510925293,-2.876493358364325,7197.161911225592,46,0.9930501151412335,6.54,5.22,1.44
C,5.273333333,23.97333333,0.320666667,64.6,140,0.08,0.28,0.1,-100,116.4,46.2,0,0,0,92,120.2,8043319.392066751,67.6,21.08,3074,0.98,272195.61168653576,1.648,-4.2,8.116522789001465,-2.9532391697428935,7197.161911225592,46,0.9930501151412335,6.62,5.26,1.6
X,5.253333333,23.88666667,0.319333333,65,140,0.048,0.26,0.02,-100,125.6,43.4,0,0,0,110,130.4,6469032.90548337,69,18.16,32,0.8,10106.506844911488,1.198,-4.8,9.097099304199219,-1.890203703774001,7197.161911225592,46,0.9930402345366552,6.52,5.28,1.6
B,5.34,23.98666667,0.253333333,70.4,144.8,0.114,0.12,0,-100,118,45.6,0,0,0,90,119.2,7987284.614499164,66,18.6,3004,0.88,266618.48022500926,1.398,-4,8.49056339263916,-2.2130997145629543,7197.161911225592,46,0.9930303261004437,6.5,5.36,1.4
B,5.266666667,23.94,0.274666667,65.4,140.2,0.122,0.42,0.06,-100,116.4,46.2,0,0,0,90,120.6,7963329.667598801,65.8,18.18,3090,0.94,265306.0358015828,1.548,-4.4,8.4515228271484375,-2.7080716574304096,7197.161911225592,46,0.9930402345366552,6.52,5.3,1.44
D,5.506666667,23.89333333,0.249333333,68.4,138.6,0.058,0.12,0.02,-100,118,46.2,0,0,0,76,120.2,7979295.635013875,64.2,21.68,2936,1.64,266180.6389575277,3.29,-4.2,8.677550315856934,-1.890203703774001,7197.161911225592,46,0.9930501151412335,7.76,5.62,3.16
B,5.32,23.96,0.190666667,66.4,140.2,0.038,0.04,0,-100,117.8,45.4,0,0,0,92,120,7979295.635013875,65.4,22.28,2972,0.92,263996.82951554767,1.498,-4.4,8.709458351135254,-3.624582423211284,7197.161911225592,46,0.9930599680312793,6.56,5.38,1.46
B,5.273333333,23.96666667,0.199333333,68.4,141.8,0.008,0.3,0.12,-100,117.2,46,0,0,0,94,120.2,7987284.614499164,65.6,24.02,3094,0.92,267787.81592611666,1.498,-4.4,8.694991111755371,-3.624582423211284,7197.161911225592,46,0.9930501151412335,6.58,5.4,1.46
B,5.533333333,23.98666667,0.246666667,70.4,142.2,0.062,0.08,0.04,-100,121,47.6,0,0,0,118,120,509801.5982785199,67.4,13.56,3154,0.7,10106.506844911488,0.946,-4.4,9.14875316619873,-2.8055019245170887,7197.161911225592,46,0.9930203897148375,6.5,5.48,1.36
A,5.426666667,23.98666667,0.255333333,69,140.4,0.122,0.48,0.04,-100,121.2,43.660000000000004,0,0,0,110,131.4,509801.5982785199,66.4,19.32,868,1.56,10106.506844911488,3.092,-4.4,8.9903564453125,-3.624582423211284,7197.161911225592,46,0.9930697933232372,7.08,5.54,3.18
B,5.406666667,23.94,0.329333333,66.2,137.8,0.208,0.46,0.02,-100,130.6,44.6,0,0,0,96,119,8003274.565024487,67,17.52,2592,0.88,267349.0152107481,1.398,-4,8.848873138427734,-3.624582423211284,7197.161911225592,46,0.9930697933232372,6.5,5.46,1.4
B,5.453333333,24.09333333,0.235333333,66.4,136.2,0.072,0.06,0.06,-100,125.2,46.4,0,0,0,94,120.2,8035302.432289879,66.4,20.38,2996,0.9,271311.17419218854,1.448,-4.6,9.063971519470215,-3.546088499790939,7197.161911225592,46,0.9930599680312793,6.5,5.38,1.4
C,5.266666667,23.94666667,0.276666667,64.8,139.2,0.048,0.18,0.02,-100,116.6,46.2,0,0,0,90,120.6,8051340.349027529,66,24.12,3060,0.9,272638.37012276164,1.448,-4.4,8.75184154510498,-3.624582423211284,7197.161911225592,46,0.9930402345366552,6.54,5.32,1.4
C,5.253333333,23.99333333,0.293333333,70.4,146.4,0.04,0.14,0.02,-100,122.2,46,0,0,0,102,119.8,8043319.392066751,66.8,17.54,3136,0.94,274561.1476169988,1.548,-4.2,8.283568382263184,-3.624582423211284,7197.161911225592,46,0.9930402345366552,6.62,5.34,1.52
D,5.5,24.04666667,0.246666667,71,141.8,0.04,0.02,0,-100,120.4,46.4,0,0,0,78,119.4,8035302.432289879,65.6,18.12,3194,1.64,270134.16291012894,3.29,-3.8,8.648577690124512,-1.890203703774001,7197.161911225592,46,0.9930303261004437,7.74,5.66,3.28
D,5.48,23.89333333,0.224666667,70.4,140.8,0.07,0.34,0.06,-100,120.2,50.4,0,0,0,80,120,8035302.432289879,64.8,16.94,3162,1.66,274264.89594828145,3.34,-3.8,8.742941856384277,-3.624582423211284,7197.161911225592,50,0.9930303261004437,7.74,5.62,3.24
D,5.486666667,23.98,0.306666667,69.6,140,0.1934,0.16,0.02,-100,122.6,47,0,0,0,78,120.2,8035302.432289879,64.6,17.04,2982,1.66,269106.3768296324,3.34,-4,8.83116626739502,-3.546088499790939,7197.161911225592,46,0.9930203897148375,7.74,5.62,3.26
D,5.466666667,24.04,0.23,70.2,141.2,0.004,0.1,0.04,-100,120.2,46.6,0,0,0,78,120.4,8035302.432289879,65.4,23.44,3182,1.68,268080.5496213173,3.39,-4,8.72400188446045,-2.6196934934387297,7197.161911225592,46,0.9930303261004437,7.72,5.56,3.28
D,5.46,24.04666667,0.278,70.8,141.8,0.174,0.4,0.1,-100,125.6,40,0,0,0,104,121.8,509801.5982785199,69,19.22,32,1.42,10106.506844911488,2.75,-4.2,9.406709671020508,-3.546088499790939,7197.161911225592,46,0.9930203897148375,7.72,5.58,3.28
B,5.32,24.04666667,0.268666667,64.4,137,0.068,0.1,0.04,-100,120.4,46.8,0,0,0,104,119.2,8067394.254500205,66,18.04,3190,0.92,268959.71015463094,1.496,-4.2,8.870638847351074,-3.624582423211284,7197.161911225592,46,0.9930501151412335,6.5,5.38,1.5
B,5.313333333,24.09333333,0.318666667,64.2,136.8,0.1934,0.44,0.04,-100,118.2,45.8,0,0,0,100,120.4,8051340.349027529,65.2,22.02,2862,0.9,266180.6389575277,1.448,-4.2,8.70011043548584,-3.624582423211284,7197.161911225592,46,0.9930303261004437,6.5,5.36,1.52
B,5.266666667,23.97333333,0.28,73.2,149.8,0.04,0.24,0.04,-100,124.6,44.8,0,0,0,102,121,7955352.679669319,65,16.72,3122,0.92,262111.47048197399,1.498,-4,8.707072257995605,-3.177844801950916,7197.161911225592,46,0.99301042526141,6.52,5.34,1.56
A,5.486666667,24.10666667,0.198666667,75,146.4,0.086,0.28,0.04,-100,114.8,46.2,0,0,0,100,120.2,8059365.303172064,65.4,17.76,3048,1.5,268373.4432244743,2.942,-4,8.629624366760254,-3.624582423211284,7197.161911225592,46,0.9930303261004437,7.16,5.44,3
A,5.46,23.98,0.204666667,65.8,136.6,0.01,0.04,0.06,-100,116.8,45.6,0,0,0,100,119.2,8035302.432289879,66.2,17.76,3080,1.5,266326.5460696895,2.942,-3.6,8.647380828857422,-3.624582423211284,7197.161911225592,46,0.9930599680312793,7.14,5.54,3.08
A,5.44,23.92,0.236,69.4,142,0.05,0.16,0.08,-100,116.4,46,0,0,0,98,120.8,8043319.392066751,66.4,21.46,3102,1.52,267641.5090440019,2.992,-3.6,8.654210090637207,-3.624582423211284,7197.161911225592,46,0.9930501151412335,7.14,5.56,3.06
D,5.48,23.90666667,0.178666667,70.4,141,0.09,0.22,0.04,-100,118,46,0,0,0,74,120.8,8043319.392066751,65,19.68,2900,1.7,267934.16278522206,3.44,-4.4,8.804495811462402,-2.840333502452304,7197.161911225592,46,0.9930599680312793,7.68,5.58,3.32
D,5.473333333,23.92,0.347333333,74.2,145.2,0.158,0.5,0.08,-100,125.8,46.8,0,0,0,78,123.2,8035302.432289879,65.2,16.74,2880,1.72,277681.44457141,3.49,-4.4,8.954364776611328,-2.876493358364325,7197.161911225592,46,0.9930203897148375,7.7,5.6,3.32
D,5.526666667,23.98666667,0.222,70.8,140.6,0.102,0.24,0.08,-100,132.8,45.6,0,0,0,76,119,8075427.203011801,65.6,16.92,3350,1.72,273672.87233430793,3.49,-4.4,8.841890335083008,-3.0367720451310674,7197.161911225592,46,0.9930697933232372,7.7,5.62,3.34
B,5.38,24.06666667,0.288,66.8,139,0.058,0.18,0.04,-100,124.8,46,0,0,0,94,119,8067394.254500205,66,13.4,3020,0.94,259368.09875615212,1.548,-4.6,8.309406280517578,-3.546088499790939,7197.161911225592,46,0.9930893615754153,6.52,5.5,1.38
C,5.313333333,24.10666667,0.314666667,66.4,139.8,0.08,0.1,0.1,-100,133.4,45.8,0,0,0,92,120,7923484.699808631,66.4,20.28,2726,0.9,263851.56203548325,1.448,-5,8.26198673248291,-3.624582423211284,7197.161911225592,46,0.9930599680312793,6.66,5.38,1.34
C,5.346666667,23.95333333,0.321333333,65.6,139.2,0.048,0.22,0.08,-100,130.4,46,0,0,0,90,119,7915527.697808529,68.2,20.88,3276,0.94,267495.24213887885,1.548,-5,8.21764087677002,-3.624582423211284,7197.161911225592,46,0.9930599680312793,6.58,5.4,1.38
B,5.366666667,23.94666667,0.343333333,67.8,141.2,0.076,0.1,0.04,-100,114.6,46.2,0,0,0,100,119.8,8035302.432289879,65.6,19.72,3042,0.94,262256.25823782553,1.548,-5.4,8.815403938293457,-3.546088499790939,7197.161911225592,46,0.9930004326210645,6.56,5.4,1.42
D,5.546666667,23.95333333,0.276,68.2,136.8,0.07,0.14,0.04,-100.2,114,46.2,0,0,0,78,119.8,8043319.392066751,64.6,19.82,3040,1.74,260377.1356198022,3.538,-5,8.799446105957031,-3.177844801950916,7197.161911225592,46,0.9930697933232372,7.7,5.62,3.28
D,5.526666667,23.96666667,0.270666667,71.6,141.4,0.078,0.04,0.04,-100.2,115.6,46.2,0,0,0,76,122.8,8027289.469697066,64,18.78,2950,1.76,287906.2334503329,3.588,-5.2,8.768135070800781,-3.177844801950916,7197.161911225592,46,0.9930697933232372,7.7,5.62,3.3
B,5.32,23.89333333,0.277333333,67.6,140.4,0.112,0.18,0.08,-100,114.2,45.8,0,0,0,96,119.4,8035302.432289879,65.4,17.34,3032,0.94,277830.46988702123,1.548,-4.8,8.768704414367676,-3.546088499790939,7197.161911225592,46,0.9930203897148375,6.58,5.4,1.48
A,5.42,23.92,0.288666667,74.2,147.6,0.058,0.16,0,-100.2,126.8,46,0,0,0,104,120,8043319.392066751,66.8,21.2,3010,1.62,267056.6812854672,3.242,-5.2,8.759803771972656,-3.546088499790939,7197.161911225592,46,0.9930501151412335,7.12,5.52,3.1
A,5.38,23.93333333,0.304,69.4,143,0.02,0.22,0.04,-100.2,126.8,45.6,0,0,0,112,120.8,8035302.432289879,65.8,18.5,2962,1.56,275154.1306778618,3.092,-4.8,9.071606636047363,-3.546088499790939,7197.161911225592,46,0.9930501151412335,7.14,5.5,3.06
D,5.546666667,23.94,0.438,65.6,133.6,0.17,0.12,0.02,-100,117.4,45.8,0,0,0,72,116.6,7931445.698994913,65.4,21.32,3016,1.78,270869.4951341116,3.638,-5.2,8.735520362854004,-2.5650176021062863,7197.161911225592,46,0.9930501151412335,7.7,5.64,3.38
B,5.313333333,23.96666667,0.312,63.4,136.8,0.164,0.28,0.06,-100,119.2,49.8,0,0,0,100,119.6,8035302.432289879,65.6,16.34,3182,0.9,263561.1470063946,1.448,-4.8,8.67595386505127,-3.624582423211284,7197.161911225592,50,0.9930599680312793,6.58,5.38,1.42
B,5.386666667,24.09333333,0.288666667,63,134,0.046,0.3,0.02,-100.2,122.6,54.6,0,0,0,126,115.4,509801.5982785199,65.8,18.98,3740,0.8,10106.506844911488,1.198,-5.2,8.650811195373535,-1.890203703774001,7197.161911225592,46,0.9930303261004437,6.56,5.38,1.48
B,5.266666667,23.90666667,0.338,63.4,136.4,0.16,0.22,0.06,-100.2,115.4,45.8,0,0,0,96,119.2,8035302.432289879,65.2,19.24,3038,0.9,270281.14940097375,1.448,-5,8.866446495056152,-3.546088499790939,7197.161911225592,46,0.9930697933232372,6.58,5.36,1.48
B,5.286666667,23.98,0.248666667,69,143.8,0.004,0.16,0.12,-100.2,122,45.8,0,0,0,98,120,8035302.432289879,65.2,18.42,2966,0.88,269693.4432994631,1.398,-5,8.753401756286621,-3.546088499790939,7197.161911225592,46,0.9930795911329003,6.58,5.36,1.48
D,5.513333333,24.07333333,0.226,68.8,138.4,0.024,0.12,0.02,-100.2,113.6,46.2,0,0,0,76,120.6,8043319.392066751,65.4,14.04,3002,1.72,287906.2334503329,3.49,-5,8.782027244567871,-3.0367720451310674,7197.161911225592,46,0.9930795911329003,7.72,5.58,3.28
C,5.226666667,23.95333333,0.353333333,66.4,142.8,0.15,0.14,0.06,-100,120.6,46.2,0,0,0,98,119.6,7947379.688925409,67.4,21.1,2968,0.94,274561.1476169988,1.548,-5.4,8.827080726623535,-1.890203703774001,7197.161911225592,46,0.9930501151412335,6.54,5.3,1.32
C,5.38,24.01333333,0.274,68.6,141.6,0.14,0.24,0.04,-100.2,125.6,46,0,0,0,110,120.4,7765104.125383564,66.8,22.9,3054,0.92,255494.44888845834,1.496,-5,8.640735626220703,-2.591964438384992,7197.161911225592,46,0.9930697933232372,6.6,5.4,1.48
B,5.34,23.96666667,0.313333333,69.6,143,0.134,0.32,0.06,-100.2,119,46,0,0,0,102,119.2,7923484.699808631,67.8,16.78,2980,0.86,260521.44365132044,1.348,-5,8.6079254150390625,-2.6196934934387297,7197.161911225592,46,0.9930203897148375,6.56,5.42,1.38
B,5.346666667,23.99333333,0.257333333,68,141.2,0.05,0.02,0.02,-100.2,119.2,46.2,0,0,0,96,119.4,7915527.697808529,65.2,20.28,2994,0.86,269546.6167165333,1.348,-4.6,9.051589012145996,-3.0367720451310674,7197.161911225592,46,0.9930303261004437,6.56,5.4,1.42
B,5.333333333,24.00666667,0.308,67.4,140.6,0.07,0.02,0.02,-100.2,127,46,0,0,0,98,121.2,7931445.698994913,65.4,14.28,2994,0.82,267202.8282596107,1.248,-4.4,9.259533882141113,-2.73945210282693,7197.161911225592,46,0.9930501151412335,6.54,5.38,1.42
B,5.28,23.96,0.260666667,64.6,138.6,0.094,0.18,0.04,-100.2,119.4,46.4,0,0,0,104,121,7931445.698994913,65,19.88,2988,0.92,265451.703051733,1.498,-4.8,9.1830415725708,-2.73945210282693,7197.161911225592,46,0.9930599680312793,6.54,5.34,1.44
D,5.49,23.82,0.264666667,68.6,138.6,0.018,0.16,0.02,-100.2,126.6,46,0,0,0,84,119.2,7955352.679669319,65.4,21.4,2988,1.62,264142.1369726246,3.24,-4.4,8.902525901794434,-2.3099128046569306,7197.161911225592,46,0.9930795911329003,7.72,5.64,3.26
B,5.24,24.09333333,0.152666667,69.2,144.2,0.032,0.12,0.12,-100.2,130.6,45.8,0,0,0,96,119.8,7939410.695367224,64.8,21.82,2996,0.88,263561.1470063946,1.398,-4.4,9.22568130493164,-1.890203703774001,7197.161911225592,46,0.9930697933232372,6.52,5.42,1.44
B,5.306666667,23.94,0.276666667,62.8,135.4,0.086,0.4,0.04,-100.2,130,46.2,0,0,0,100,120.6,7915527.697808529,65.6,20.56,2988,0.92,269253.08348161716,1.498,-4.2,9.247767448425293,-2.1593530628461006,7197.161911225592,46,0.9930599680312793,6.54,5.4,1.54
B,5.326666667,23.99333333,0.284666667,70,144.8,0.092,0.18,0.02,-100.2,124.8,49.8,0,0,0,102,125.4,509801.5982785199,65.4,24.06,3032,0.98,205475.37870581896,1.648,-4.8,9.125236511230469,-2.876493358364325,7197.161911225592,46,0.9930697933232372,6.52,5.38,1.5
B,5.3,23.95333333,0.321333333,68.6,143.4,0.05,0.06,0,-100.2,122.2,46.2,0,0,0,96,120,7931445.698994913,67.4,24.06,2990,1,261532.71922880778,1.698,-5.4,8.500256538391113,-1.890203703774001,7197.161911225592,46,0.9930697933232372,6.54,5.4,1.44
B,5.326666667,23.90666667,0.298666667,66,139.2,0.064,0.3,0.08,-100,124.8,46,0,0,0,98,119.8,7923484.699808631,67.2,24.06,2980,1,263851.56203548325,1.698,-5.4,8.514385223388672,-1.890203703774001,7197.161911225592,46,0.9930599680312793,6.52,5.42,1.46
B,5.293333333,23.86,0.322,73.4,150,0.034,0.3,0.02,-100.2,121,46.2,0,0,0,98,120.4,7931445.698994913,66.6,19.56,2988,0.98,268666.49673558114,1.646,-5.6,8.502777099609375,-1.890203703774001,7197.161911225592,46,0.9930402345366552,6.52,5.42,1.44
B,5.16,23.89333333,0.314,61.6,138,0.072,0.12,0.12,-100.2,118.8,46,0,0,0,100,120.2,7939410.695367224,67.2,16.46,3010,0.98,264578.2992059206,1.648,-5.4,8.5670013427734375,-1.890203703774001,7197.161911225592,46,0.9930402345366552,6.5,5.4,1.44
C,5.26,24.06,0.288666667,65.2,138.8,0.068,0.06,0.12,-100,121.8,49.6,0,0,0,120,113.2,509801.5982785199,68.2,23.26,3684,0.74,10106.506844911488,1.048,-5.2,8.5569305419921875,-1.890203703774001,7197.161911225592,48,0.9930501151412335,6.64,5.28,1.32
C,5.213333333,24,0.34,64.6,142.2,0.04,0.2,0.12,-100.2,124.2,48.2,0,0,0,100,119.2,7931445.698994913,65.6,21.14,3064,0.94,267495.24213887885,1.548,-5.4,8.379752159118652,-1.890203703774001,7197.161911225592,48,0.9930599680312793,6.64,5.32,1.42
D,5.413333333,23.98666667,0.310666667,74.2,147.6,0.01,0.06,0.02,-100.2,124.2,48,0,0,0,80,119.4,7947379.688925409,66.8,23.58,3030,1.82,267787.81592611666,3.738,-5.8,8.401399612426758,-2.373042671790811,7197.161911225592,48,0.9930991047652858,7.7,5.6,3.32
D,5.5,24.1,0.338666667,71.2,141.4,0.032,0.44,0.04,-100,116,48,0,0,0,76,116.8,7931445.698994913,66,20.1,3104,1.82,259368.09875615212,3.738,-5.8,8.451444625854492,-1.890203703774001,7197.161911225592,48,0.9930795911329003,7.7,5.62,3.34
A,5.413333333,23.99333333,0.335333333,61.8,132.6,0.098,0.18,0.06,-100.2,120.8,47.8,30.2,33,35,98,110.2,7162697.15386533,65.8,19.88,3156,1.7,236425.83713497815,3.44,-5.6,8.438861846923828,-2.591964438384992,6047.575217310926,48,0.9930599680312793,7.04,5.52,3.26
A,5.34,24.00666667,0.335333333,67.2,140,0.06,0.1,0.1,-100.2,117.2,48,37,34.8,38.6,92,110.4,7931445.698994913,66.2,24.24,3380,1.7,262111.47048197399,3.44,-5.6,8.451587677001953,-2.7080716574304096,6047.575217310926,48,0.9930599680312793,7.1,5.52,3.14
D,5.533333333,23.96,0.292,73,143.4,0.018,0.1,0.02,-100.2,113.2,54.6,34.4,35.6,26.4,82,113.4,6476226.442040555,64.2,16.2,3486,1.8,207145.06075626766,3.686,-5.8,8.496152877807617,-2.9940819642629344,8446.70477753752,52,0.9930501151412335,7.68,5.64,3.36
B,5.26,23.98666667,0.34,68.4,144,0.072,0.08,0,-100,116,54,1.4,3.8,8,116,126,509801.5982785199,66.2,16.26,3568,0.84,10106.506844911488,1.298,-5,8.736603736877441,-2.4884528242320214,8446.70477753752,48,0.9930501151412335,6.56,5.38,1.36
D,5.466666667,24.04666667,0.268,71.4,143.2,0.028,0.18,0.06,-100.2,125.8,48,22.4,39.6,31.4,80,120,7177839.699478041,65.4,20.32,3272,1.72,237113.79652486657,3.49,-5.4,8.730781555175781,-2.73945210282693,7197.161911225592,48,0.9930697933232372,7.72,5.62,3.24
D,5.486666667,23.99333333,0.259333333,75.4,147.6,0.038,0.08,0.02,-100,122.2,48,20,38.4,30.8,80,121.6,7185416.968086191,65,22.94,3472,1.78,225420.13561260627,3.638,-5.4,8.72730827331543,-2.840333502452304,7197.161911225592,48,0.9930599680312793,7.7,5.66,3.3
B,5.24,23.93333333,0.324666667,67.2,142.8,0.072,0.08,0,-100,133.4,46,19.6,39.8,28.4,108,120.2,7185416.968086191,65.4,19.58,3308,0.94,231502.03269287114,1.548,-5.4,8.841456413269043,-2.5650176021062863,7197.161911225592,46,0.9930893615754153,6.56,5.36,1.38
C,5.26,23.96666667,0.326,65,139.6,0.024,0.04,0,-100.2,117,48.2,34.2,30.6,21.8,100,119.8,6900290.794734953,67,16.44,3088,0.8,228653.73979323602,1.196,-4.4,8.949318885803223,-1.890203703774001,7197.161911225592,48,0.9930599680312793,6.64,5.34,1.26
C,5.213333333,23.78666667,0.398666667,69.8,146.6,0.072,0.26,0.06,-100.2,122.6,47.8,39.6,31.6,23.6,106,120.2,6900290.794734953,67,18,3074,0.78,221943.0496308157,1.146,-4.4,8.92760944366455,-1.890203703774001,7197.161911225592,48,0.9930599680312793,6.66,5.36,1.26
C,5.2,23.90666667,0.361333333,68.2,145.2,0.014,0.04,0,-100.2,118.2,52.6,39.6,30,19.8,124,117.6,509801.5982785199,66.8,21.16,3530,0.8,10106.506844911488,1.196,-4.4,8.84394645690918,-2.33049940472409,7197.161911225592,48,0.9930697933232372,6.64,5.3,1.32
B,5.226666667,24.04666667,0.262666667,71.2,148.6,0.07,0.04,0.1,-100.2,125.4,42.4,0,0,0,126,121.6,509801.5982785199,69,19.56,252,0.78,10106.506844911488,1.148,-4.2,9.334868431091309,-3.546088499790939,7197.161911225592,48,0.9930501151412335,6.56,5.66,1.44
B,5.273333333,24.10666667,0.404666667,65.2,140,0.124,0.1,0.02,-100.2,129,42.4,0,0,0,122,120.4,509801.5982785199,65.8,21.8,278,0.84,10106.506844911488,1.298,-5,8.809453010559082,-2.591964438384992,7197.161911225592,48,0.9930402345366552,6.52,5.32,1.42
D,5.506666667,23.98666667,0.259333333,70.6,140.2,0.052,0.1,0.08,-100.2,121.4,46,38.2,30.8,23.2,80,118.6,7592732.194992122,63.8,19.84,2956,1.68,266326.5460696895,3.39,-5,8.746875762939453,-2.9532391697428935,7197.161911225592,46,0.9930697933232372,7.74,5.6,3.18
B,5.266666667,23.88666667,0.348,67.2,141.2,0.03,0.32,0.12,-100,122.8,48,30.8,33,25.2,98,119.6,7230964.520950172,66.6,17.32,3006,0.98,239321.98273735947,1.646,-5.8,8.756525993347168,-2.6196934934387297,7197.161911225592,48,0.9930402345366552,6.56,5.38,1.44
A,5.326666667,23.92,0.266,73.6,149.4,0.11,0.22,0.06,-100.2,122.4,52,0.4,15.2,13.8,120,121.4,509801.5982785199,69,17.74,3824,1.5,10106.506844911488,2.95,-5.8,8.49863338470459,-1.890203703774001,7197.161911225592,50,0.9932420582441408,7.08,5.32,2.86
B,5.253333333,24.09333333,0.329333333,66,141.4,0.036,0.14,0.04,-100.2,123.2,48,34,30.4,21.4,98,120,7238569.769961859,65.4,16.84,3106,0.92,240152.69105985708,1.498,-5.4,8.71430778503418,-2.417555954170016,7197.161911225592,48,0.9930991047652858,6.58,5.36,1.4
A,5.34,23.98666667,0.231333333,68,140.6,0.044,0.08,0.12,-100.2,120.8,52.4,34.4,32.2,23.6,94,125.4,7253792.259584679,69,21.54,3858,1.46,242514.1801735734,2.846,-5.2,8.726675987243652,-2.395041562350615,8446.70477753752,50,0.9930991047652858,7.18,5.7,2.84
